length,steps,threads,seconds,nanoseconds
500000,20,16,0,10917963
500000,20,32,0,12883705
500000,30,2,0,10557333
500000,30,4,0,9685780
500000,30,8,0,11675396
500000,30,16,0,15716608
500000,30,32,0,22823462
500000,40,2,0,13992897
500000,40,4,0,12815482
500000,40,8,0,14486898
500000,40,16,0,19468527
500000,40,32,0,26630640
500000,50,2,0,17325705
500000,50,4,0,16302856
500000,50,8,0,17459891
500000,50,16,0,25521046
500000,50,32,0,39300479
500000,60,2,0,22150287
500000,60,4,0,19143744
500000,60,8,0,19478259
500000,60,16,0,30451525
500000,60,32,0,38317239
500000,70,2,0,23922125
500000,70,4,0,22136705
500000,70,8,0,22461937
500000,70,16,0,36712969
500000,70,32,0,47631641
500000,80,2,0,27201079
500000,80,4,0,25415685
500000,80,8,0,25868424
500000,80,16,0,43064771
500000,80,32,0,62282558
500000,90,2,0,30485684
500000,90,4,0,28494476
500000,90,8,0,28881211
500000,90,16,0,50834055
500000,90,32,0,76348722
500000,100,2,0,33625238
500000,100,4,0,33579047
500000,100,8,0,32056286
500000,100,16,0,55376728
500000,100,32,0,77406169
